country,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,44.9,,,,,,,32.9,,,,,,,,,25,,,
Albania,,,,,,,,,,,,,,,7.1,,,17,,,,,6.6,,,,6.3,,,,,,,
Algeria,,,,,8,,,,,9.2,,,11.3,,,,,5.4,,11.1,,,3.7,,,,,,,3,,,,
Angola,,,,,,,,,,,,,,37,,,,,,,,,,,15.6,,,,,,,,,19
Argentina,,,,,,,,,,,,1.7,,4.7,,,,,,,,,2.3,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,2.7,,2.6,,,,,4.2,,,,,5.3,,,,,,2.6
Australia,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,8.8,,,,14,5.9,,,,,8.4,,,,,6.5,,4.9,,,
Bahrain,,,,,,,6.3,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,66.8,,,,61.5,61.2,60.6,56.1,58,55.2,54,52.5,50.7,49.5,42.3,43.2,41,38.9,42.7,37.3,37.9,41.3,,,,36.8,31.9,35.1,32.6,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,
Belize,,,,,,,,,,5.4,,,,,,,,,,,,,,4.9,,,,,6.2,,,,4.6,
Benin,,,,,,,,,,,,,,26.2,,,,,21.5,,,,,20.2,,,,,,,,18,,
Bhutan,,,,,34,,,,,,,,,,,,14.1,,,,,,,,,10.4,,12.8,,,,,,
Bolivia,,,,,,9.8,7.8,9.7,10.2,10.5,,11,,,,5.9,,,,,5.9,,,,,4.5,,,,3.6,,,,3.4
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,4.2,,,,,,1.6,,,,,,1.5,,,,
Botswana,,,,,,,,,,,,,,15.1,,,,10.7,,,,,,,11.2,,,,,,,,,
Brazil,,,,,,,5.3,,,,,,,4.5,,,,,,3.7,,,,,2.2,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,29.6,,,,,,33.7,,,,35.2,,,37.6,,,26,26.2,24.4,24.4,20.9,20,,19.2
Burundi,,,,,33.6,,,,,,,,,,,,,38.9,,,,,35.2,,,,,29.1,,,,,,29.3
Cambodia,,,,,,,,,,,,,,42.6,,,,39.5,,,,,28.4,,,28.8,,29,,,,23.9,,
Cameroon,,,,,,,,,18,,,,,,,17.3,,,,,,15.1,,16.6,,,,,15.1,,,14.8,,
Cape Verde,,,13.7,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,24,,,,,,21.8,,,,,,28,,,,23.5,,,,,,
Chad,,,,,,,,,,,,,,,34.3,,,29.4,,,,33.9,,,,,,30.3,,,,,28.8,
Chile,,,,2.2,,,,,,,,0.8,0.8,0.7,,0.7,0.7,,0.7,0.7,0.6,0.6,,0.6,0.6,0.5,,,,,0.5,0.5,,
China,,,,,18.7,,,12.6,,14.2,,,10.7,,,6.9,,7.4,,6.8,,,4.5,,,3.8,3.4,3.4,,,2.4,,,
Colombia,,,,8.9,,,8.8,,,,,,6.3,,,,,4.9,,,,,5.1,,,,,3.4,,,,,,
Comoros,,,,,,,,,,15.2,,,,21.1,,,,25,,,,,,,,,,,,16.9,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,30.7,,,,,,33.6,,,,,,28.2,,,24.2,,,23.4,,,
"Congo, Rep.",,,,,16.4,,,,,,,,,,,,,,,,,,11.8,,,,,,11.8,,,,12.3,
Costa Rica,,,,,,,2.4,2.5,2.2,2,2,1.9,,3.8,,,,,,,,,,,,1.1,,,,,,,,
Cote d'Ivoire,,,,10.8,,,,,,,,20.3,,,,18.2,,,,,,,,16.7,29.4,,,,,15.7,,,,12.8
Cuba,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,0.9,,,,,,,,,,2.1,,,,,,,,,,,,,,,
Djibouti,,,,,,,20.2,,,,,,,16,,,,,,25.4,,,,29.6,,,,,,29.8,,,,
Dominican Republic,,,,8.7,,,,,8.4,,,,,4.7,,,,3.5,,4.2,,,,4.6,3.4,,,,,,4,,,
Ecuador,,,,14.5,,,,,,,,,,,,12.5,,,,,,6.2,,6.8,,,,,,6.4,,5.1,,
Egypt,,,,,,9.4,,,10.5,,8.2,,10.8,,10.2,9.4,,,,,8.7,,5.4,,,6.8,,,,,,7,,
El Salvador,,,,,,11.1,,,,,7.2,,,,,9.6,,,,,6.1,,,,,6.6,,,,,,5,,
Equatorial Guinea,,,,,,,,,,,,,,,13.8,,,15.7,,,,10.6,,,,,,,5.6,,,,,
Eritrea,,,,,,,,,,,36.9,,39.6,,,,,,,34.5,,,,,,,,38.8,,,,,,
Ethiopia,,,,,,,,,,41.9,,,,,,,,42,,,,,34.6,,,,,,29.2,,,25.2,,23.6
Fiji,,,,,,,,,,,6.9,,,,,,,,,,,5.3,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,,6.5,,,,
Gambia,,,,,,,,,,,,,,23.2,,,,15.4,,,,,,15.8,,,,17.4,,18,16.4,,,
Georgia,,,,,,,,,,,,,,,,,2.7,,,,,,2.3,,,,1.1,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,
Ghana,,,,,,24.8,,,,,25.8,,,,,,20.3,,,,18.8,,,13.9,,14.3,,,13.4,,,11,,
Guatemala,,,,,27.9,,,,,,,,21.7,,,,20.3,19.6,,17.7,,,,,,,13,,,,,,12.6,
Guinea,,,,,,,,,,,,21.2,,,,,21.2,,,,,,22.5,,20.8,,,,16.3,18.7,,,,18.3
Guinea-Bissau,,,,,,,,,,,,,,,,,,21.9,,,,,,17.4,,,,18.1,,,,17,,
Guyana,,,,,,,,,,,16.1,,,,10.3,,,11.9,,,,,,10.8,,,11.1,,,,,8.5,,
Haiti,,,,,,,,23.7,,,,24,,,,,,13.9,,,,,,18.9,,,,,,11.6,,,,
Honduras,,,,,18.1,,,,,15.8,,16.1,,17.9,,,,,12.5,,,,,8.6,,,,,,7.1,,,,
India,,,,,,,55.5,,,52.8,51.2,,,,38.4,,46.3,,,,,,,43.5,,,,,,,,29.4,35.7,
Indonesia,,,,,35.9,,31,,,29.8,,,30.3,,,25.8,22.8,24.8,23.4,23,23.1,19.7,24.4,,19.6,,,18.6,,,19.9,,,
Iran,,,,,,,,,,,,,13.8,,,9.5,,,,,,4.6,,,,,,,4.1,,,,,
Iraq,,,,,,,,,10.4,,,,,,,,,12.9,,,10.1,8,,7.1,,,,,8.5,,,,,
Jamaica,,,,,,,6.3,,4,7,8.9,4.5,4,5.6,3.5,3.4,2.3,3.8,4.1,2.6,,3.1,,3.7,1.8,2,,3.2,,2.5,,2.3,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,
Jordan,,,,,,,,4.8,,,,,,,3.8,,,,,3.6,,,,,,,1.9,,,3,,,,
Kazakhstan,,,,,,,,,,,,,4.4,,,,3.8,,,,,,,4.9,,,,3.7,,,,,2,
Kenya,,,,,,,,,,,20.1,19.8,,,,17.5,,17.5,,,16.5,,18.4,,,,16.4,,,,,11,,
Kiribati,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,
Kuwait,,,,,,,,,,,,,,1.5,,,,,2.2,2.1,2.3,2.8,2.7,2.7,2.9,2.3,1.7,1.7,2.1,2.2,3.1,3,,
Kyrgyz Republic,,,,,,,,,,,,,,,10.4,,,,,,,,,2.7,,,4.7,,,3.7,,2.8,,
Lao,,,,,,,,,,,39.8,35.9,,,,,,36.4,,,,,,31.6,,,,,26.5,,,,,
Lebanon,,,,,,,,,,,,,,3.5,,,,,,,,4.2,,,,,,,,,,,,
Lesotho,,,,,,,,,,13.8,18.9,,,,,,,15,,,,16.6,,,,,13.5,,,,,10.3,,
Liberia,,,,,,,,,,,,,,,,,,22.8,,,,,,,20.4,,,14.9,,,15.3,,,
Libya,,,,,,,,,,,,,4.2,,,,,,,,,,,,5.6,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,1.9,,,,,,1.8,,,,,,1.3,,,,,
Madagascar,,,,,,,,,,35.5,40.9,,30.4,,38,,,,,,,36.8,,,,,,,,,,,,
Malawi,,,,,,,,,,24.4,,,26.5,,,26.3,,21.5,,,,18.4,,15.5,,,12.1,13.8,,,,16.7,11.7,
Malaysia,,,,,,,,22.1,23.1,22.6,20.5,19.7,17.7,,,,16.7,,,,,,,12.9,,,,,,,,,12.4,13.7
Maldives,,,,,,,,,,,,32.5,39,,36.7,,,,25.7,,,,,,,,17.8,,,,,,,
Mali,,,,,28.6,,,,,,,,,37.7,,,,,30.1,,,,,27.9,,,,18.9,,,,,25,
Mauritania,,,,,,,,43.3,,,,,,20.3,,,,30.4,,,,,,,23.2,15.9,,,24.4,19.5,,,24.9,
Mauritius,,,21.1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,12.4,9.6,,,,,,,10.3,,6,,,,,,,,3.4,,,,,,2.8,,,3.9,
Moldova,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,2.2,,,,
Mongolia,,,,,,,,,,11.8,,,,,,,10.8,11.6,,,,4.8,5.3,,,,,4.7,,,1.6,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,1,,,
Morocco,,,,,12.7,,,,,8.1,,,,,7.7,,,,,,9.9,,,,,,,,3.1,,,,,
Mozambique,,,,,,,,,,,,,23.9,,26.3,,,,23,,21.2,,,,,18.3,,,15.6,,,,,
Myanmar,,,,,,,,32.5,37,,,31.2,38.7,,28.1,,,30.1,,,29.6,,,,,,22.6,,,,,,,18.9
Namibia,,,,,,,,,,21.5,,,,,,,,20.3,,,,,,,17.5,,,,,,13.2,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,
Nepal,,,,,,,,,,,,,42.6,47.1,,38.2,,,43,,,,,38.8,,,,,29.1,,,30.1,,27
Nicaragua,,,,,,,,,,,9.6,,,,,10.3,,,7.8,,,4.3,,5.7,,,,,,4.6,,,,
Niger,,,45,,,,,,,41,,,,,,46.9,,43.6,,,,,,39.9,,,,,,37.9,,,,31.7
Nigeria,,,,,,,,35.1,,,35.1,,,,,,,,,,27.2,,,,25.7,26.7,,,24.4,,31,19.8,19.4,31.5
North Korea,,,,,,,,,,,,,,,,55.5,,24.7,,17.8,,20.6,,,,,18.8,,,15.2,,,,
Oman,,,,,,,,,18.6,,,10.4,,,,,11.3,,,,,,,,,,8.6,,,,,9.7,,
Pakistan,,,,44.4,,,,,39,35.3,,,34.2,,,,,,31.3,,,,,,,,,,30.9,31.6,,,,
Palestine,,,,,,,,,,,,,,3.6,,,,,,,,,,,2.2,,,3.7,,,,1.4,,
Panama,,,,,,,,,,,,,,,6.3,,,,,,5.1,,,,,3.9,,,,,,,,
Papua New Guinea,22.8,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,27.9,,,,,,
Paraguay,,,,,,,,2.8,,,,,,,,,,,,,,,3.4,,,,,,,2.6,,,,1.3
Peru,,,,,,,,,8.8,,,,,5.7,,,,5.2,,,,,5.4,,,4.5,4.3,4.3,4.2,3.5,3.5,3.1,3.4,3.1
Philippines,,,,,29.3,,,29.9,,29.8,26.3,,,,,28.3,,,,,20.7,,,,,20.7,,,20.2,,19.9,,21.5,
Qatar,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,5,,,,,,,,3.4,3.7,3.8,3.5,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,24.3,,,,22.6,,,,20.3,,,,,18,,,,,11.7,,,,,9.3,
Samoa,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,2.7,,
Sao Tome and Principe,,,,14.5,,,,,,,,,,,,,,10.1,,,,,,8,,14.4,,,,,,8.8,,
Saudi Arabia,,,,,,,,,,,,13.5,,,,,,,,,,,5.3,,,,,,,,,,,
Senegal,,,,17,,,,,,20.4,21.9,,,19.6,,,,20.3,,,,,14.5,,,,,,19.2,14.4,16.8,12.8,15.5,13.5
Serbia,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,1.6,,,,1.8,,
Seychelles,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,
Sierra Leone,,,,,,,23.7,25.4,,,,,,,,,,24.7,,,,,28.3,,,21.3,,21.1,,,18.1,,,
Singapore,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,16.3,,,,,,,,,,,,,,,,,,11.5,,,,,,,,15.5,
Somalia,,,,,,,,,,,,,,,,,,22.8,,,,,,32.8,,,23,,,,,,,
South Africa,,,,,,,,,,,,,8,,,,9.8,,,,,11.6,,,,8.8,,,,8.5,,,,5.9
South Korea,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.7,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,27.6,,,,,,
Sri Lanka,,,,,32.8,,,,,,33.8,,29.3,,,,,22.8,,,,,,,21.1,,21.6,,,26.3,,,,20.5
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,27,,,,29.7,,,,33,,
Suriname,,,,,,,,,,,,,,,,,,11.4,,,,,,7.5,,,,5.8,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,9.1,,,,,,6.1,,7.3,,5.8,,,,5.8,,
Syria,,,,,,,,,,,11.5,,11.3,,,,,6,11.1,,,,,10,,,10.1,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,14.9,,15,,8.3,,,13.3,,,,
Tanzania,,,,,,,,,25.1,,,,,26.9,,,25.3,,,,,16.7,,,,,15.9,16.2,13.6,,13,13.4,13.7,
Thailand,,,,,20.2,,,,,,16.3,,15.4,,,,,,,,,,,7,,,,,,9.2,,,,6.7
Timor-Leste,,,,,,,,,,,,,,,,,,,,40.6,41.5,,,,48.6,,45.3,,,,37.7,,,
Togo,,,,,,21.7,,,,,,,,16.7,,23.8,,,,,,,,22.3,,20.5,,16.5,,,,16.2,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,
Trinidad and Tobago,,,,,6.2,,,,,,,,,,,,,4.4,,,,,,,,,,,5.5,,,,,
Tunisia,,,,,,7.9,,,,,,,,,3.3,,,3.5,,,,,,3.3,,,,,,2.3,,,,
Turkey,,,,,,,,,,,8.7,,9,,,7,,,,,,3.5,,,,1.7,,,,,1.9,,,
Turkmenistan,,,,,,,,,,,,,,,,,,10.5,,,,,,9.2,,,,,,,,,3.2,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,
Uganda,,,,,,19.7,,,,,,,20.8,,,,,19,,,,,,16.4,,,,,14.1,12,,,,10.5
Ukraine,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,
United States,,,,,,,,,0.9,,,,,,,,,,1.1,,,,1.1,,,,0.8,,,0.5,,,,
Uruguay,,,,,6.5,,,,,,,,,,,,4.7,,,5.4,5.1,6,,,4.2,,,,4,,,,,
Uzbekistan,,,,,,,,,,,,,,13.3,,,,,,7.1,,,,4.4,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,10.6,,,,,,,,,,,11.7,,,,,,10.7,,,
Venezuela,,,,,3.9,,,6.7,5.4,4.5,4,3.9,4.1,4.4,4.5,4.6,4.1,3.9,4,4.2,4.6,4.5,4.1,3.9,3.7,3.2,2.9,,,,,,,
Vietnam,,,,,,40.7,,,,,36.9,40.6,,,,35.8,31.1,26.7,,23.4,24.6,23.8,22.7,22.1,22.6,20.2,,17.5,12,,15.3,14.5,14.1,
Yemen,,,,,,,,,29.6,,,,,34.2,47.6,,,,,,43.1,,,,,,,,35.5,,16.3,,,
Zambia,,,,,,,,,,21.2,,,,19.6,,,19.6,,,23.3,,,,,14.9,,,,,,14.8,,,
Zimbabwe,,,,,10.5,8,,,,,,11.8,,,,,11.5,,,,,,14,,,,12.7,10.1,,,,11.2,8.4,
